date,message,TOXICITY,SEVERE_TOXICITY,IDENTITY_ATTACK,INSULT,PROFANITY,THREAT
2021-01-01 22:00:06,He didn't mince words.,0.052935857,0.0016423014,0.016393395,0.062042665,0.0121391965,0.012973581
2021-01-01 21:54:14,Three Chinese companies will be booted off the New York Stock Exchange under an executive order signed by President Trump.,0.02124131,0.0013450524,0.02719079,0.017375773,0.006278895,0.024190923
2021-01-01 19:28:01,"After an executive order signed by President Trump, three Chinese companies will be kicked off the New York Stock Exchange. https://www.pbs.org/newshour/economy/stock-exchange-delisting-3-chinese-companies-under-trump-order",0.0495556,0.0023334057,0.027506812,0.034751546,0.010395059,0.07216146
2021-01-01 18:30:50,The New York Stock Exchange announced late on Thursday that it will delist three Chinese companies to comply with an executive order that imposed restrictions on firms the U.S. identified as being affiliated with the Chinese military.,0.017701091,0.0009660597,0.026242726,0.011803796,0.0072904946,0.014618298
2021-01-01 17:00:01,Will this hurt his chances of winning?,0.062925026,0.0029873538,0.016235385,0.033578496,0.017999498,0.04083008
2021-01-01 15:24:07,"Over one-third of Americans believe the media exaggerated the threat of the Chinese coronavirus, although 50 percent approve of the media’s overall coverage, a Rasmussen Reports survey released Thursday found.",0.008954669,0.00042543781,0.018342193,0.008761202,0.0031917715,0.011301144
2021-01-01 13:06:06,The New York Stock Exchange will delist the three Chinese companies based on claimed military links.,0.0224908,0.0013153275,0.029086918,0.012976843,0.006523074,0.014063899
2021-01-01 12:00:24,"More than a year since the first known person was infected with the coronavirus, an AP investigation shows the Chinese government is strictly controlling all research into its origins while promoting fringe theories that the pandemic originated elsewhere.",0.14283726,0.0039236885,0.121000856,0.13815117,0.010953183,0.014618298
2021-01-01 5:31:40,Many Chinese-Australians feel they are facing increasing scrutiny and suspicion as Australia hardens its views towards China.,0.046122026,0.001627439,0.06474618,0.034898177,0.0073951427,0.01374974
2021-01-01 4:35:04,"The New York Stock Exchange is starting the process of delisting securities of three Chinese telecom companies, China Telecom Corporation Limited , China Mobile Limited <0941.HK> and China Unicom (Hong Kong) Limited , it said in a statement https://ir.theice.com/press/news-details...",0.0072886846,0.0007059667,0.01749947,0.007918074,0.0041161645,0.012123503
2021-01-01 4:00:01,Sinopharm is one of at least five Chinese developers in a global race to create vaccines for the coronavirus.,0.0358213,0.0017909261,0.057746265,0.029766092,0.011162479,0.01367582
2021-01-01 3:25:06,"Lin Qi, who died on Christmas Day after being poisoned, had been working with Netflix and the “Game of Thrones” creators to bring a Chinese science fiction tale to a global TV audience.",0.03427619,0.0014045022,0.02213445,0.036951013,0.010255529,0.015727097
2021-01-01 1:40:26,BREAKING: The New York Stock Exchange said it will delist three Chinese companies to comply with a U.S. executive order.,0.016243355,0.00095119723,0.028138854,0.010190854,0.0049184677,0.014063899
2021-01-01 1:05:12,"Large crowds took to the streets at midnight on Friday in the central Chinese city of Wuhan, celebrating the arrival of 2021 after a year marred by a deadly pandemic that killed thousands there and required the city to be locked down between the end of January and early...",0.0669207,0.0028684542,0.03698745,0.039003845,0.014162396,0.081276044
2021-01-02 22:01:41,The Chinese behemoth that makes batteries for Tesla and Volkswagen developed a power pack that lasts more than a million miles.,0.07690986,0.0030170789,0.081927784,0.075100705,0.013115914,0.014618298
2021-01-02 21:40:00,The move stems from an executive order President Donald Trump issued on Nov. 12 barring investment in publicly traded companies that the U.S. government says are owned or controlled by the Chinese military.,0.012841969,0.00073569163,0.020343661,0.015542885,0.0044998745,0.011975663
